"old_symbol","new_symbol","old_probe_hits","old_probe_ids","old_symbols_seen","old_ilmn_genes_seen","new_probe_hits","new_probe_ids","new_symbols_seen","new_ilmn_genes_seen"
"March 1","MARCHF1",2,"ILMN_2094942;ILMN_1681101","March 1","March 1",0,"","",""
"March 2","MARCHF2",4,"ILMN_2337789;ILMN_2271336;ILMN_1669592;ILMN_1703142","March 2","March 2",0,"","",""
"March 3","MARCHF3",3,"ILMN_1735038;ILMN_1699644;ILMN_1655796","March 3","March 3",0,"","",""
"March 4","MARCHF4",1,"ILMN_1789991","March 4","March 4",0,"","",""
"March 5","MARCHF5",2,"ILMN_1702764;ILMN_2047430","March 5","March 5",0,"","",""
"March 6","MARCHF6",1,"ILMN_1757106","March 6","March 6",0,"","",""
"March 7","MARCHF7",1,"ILMN_1717337","March 7","March 7",0,"","",""
"March 8","MARCHF8",4,"ILMN_2341626;ILMN_2257749;ILMN_2336335;ILMN_1812607","March 8","March 8",0,"","",""
"March 9","MARCHF9",1,"ILMN_1748393","March 9","March 9",0,"","",""
"March 10","MARCHF10",2,"ILMN_3305472;ILMN_3228863","March 10","March 10",0,"","",""
"March 11","MARCHF11",1,"ILMN_3234892","March 11","March 11",0,"","",""
"Selenoprotein 15","SELENOF",1,"ILMN_2407082","Selenoprotein 15","Selenoprotein 15",0,"","",""
"Septin 1","SEPTIN1",1,"ILMN_2415162","Septin 1","Septin 1",0,"","",""
"Septin 2","SEPTIN2",4,"ILMN_2365711;ILMN_1676737;ILMN_1748546;ILMN_1747665","Septin 2","Septin 2",0,"","",""
"Septin 3","SEPTIN3",2,"ILMN_1659953;ILMN_1746673","Septin 3","Septin 3",0,"","",""
"Septin 4","SEPTIN4",4,"ILMN_2294123;ILMN_2402172;ILMN_1776157;ILMN_2251114","Septin 4","Septin 4",0,"","",""
"Septin 5","SEPTIN5",1,"ILMN_1688067","Septin 5","Septin 5",0,"","",""
"Septin 6","SEPTIN6",3,"ILMN_1681798;ILMN_2399264;ILMN_1661342","Septin 6","Septin 6",0,"","",""
"Septin 7","SEPTIN7",2,"ILMN_2129734;ILMN_1729019","LOC441601;Septin 7","LOC441601;Septin 7",0,"","",""
"Septin 9","SEPTIN9",1,"ILMN_1769118","Septin 9","Septin 9",0,"","",""
"Septin 10","SEPTIN10",2,"ILMN_2258958;ILMN_2343757","Septin 10","Septin 10",0,"","",""
"Septin 11","SEPTIN11",1,"ILMN_1788778","Septin 11","Septin 11",0,"","",""
"Septin 12","SEPTIN12",1,"ILMN_1788061","Septin 12","Septin 12",0,"","",""
"Septin 13","SEPTIN7P2",1,"ILMN_3239164","Septin 13","Septin 13",0,"","",""
"Septin 14","SEPTIN14",1,"ILMN_1798053","Septin 14","Septin 14",0,"","",""
